feature,importance
cat__publication_year_1946.0,1.3964096460236319e-05
cat__publication_year_1843.0,1.2326342145350055e-05
remainder__external_bbe_ratings_2_was_missing,1.2013006463687231e-05
cat__publication_decade_1830.0,1.068060709594162e-05
cat__publication_year_1936.0,1.017006476209136e-05
cat__publication_year_1915.0,9.903290368060234e-06
cat__publication_year_1978.0,9.680636142324642e-06
cat__publication_decade_1900.0,9.670377046229058e-06
cat__publication_year_1859.0,8.98298718024916e-06
cat__publication_year_1848.0,8.771369962128698e-06
cat__publication_year_1835.0,7.2972262627342005e-06
cat__publication_year_1943.0,6.82416174286631e-06
cat__publication_year_1967.0,6.733082914051368e-06
cat__publication_year_1948.0,6.665840476582045e-06
cat__publication_year_1958.0,5.851260203757532e-06
cat__publication_year_1963.0,5.7844930799272676e-06
remainder__external_bbe_ratings_1_share_was_missing,5.555309964276108e-06
cat__publication_year_1940.0,5.521170281800835e-06
cat__publication_year_1886.0,4.7701528385737715e-06
cat__publication_year_1922.0,4.724870927500193e-06
cat__publication_year_1845.0,4.701513127270208e-06
cat__publication_year_1916.0,4.395539809744783e-06
cat__publication_year_1887.0,4.384939372667576e-06
cat__publication_decade_1860.0,3.937223015955655e-06
cat__publication_year_1929.0,3.7475078583745555e-06
cat__publication_year_1947.0,3.418787712923418e-06
cat__publication_year_1899.0,3.364969203809733e-06
cat__publication_decade_1820.0,3.1265855783066092e-06
cat__publication_year_1895.0,2.9976415910841876e-06
cat__publication_year_1902.0,2.990407978867653e-06
cat__publication_year_1890.0,2.967178511519214e-06
cat__publication_year_1959.0,2.796616316775834e-06
cat__publication_year_1957.0,2.745745706033459e-06
cat__publication_year_1925.0,2.743298497150772e-06
cat__publication_year_1918.0,2.586118843703462e-06
cat__publication_year_1901.0,2.563880782253985e-06
cat__publication_year_1785.0,2.4018741035587745e-06
cat__publication_decade_1780.0,2.3937673359361133e-06
cat__publication_year_1861.0,2.38749547289961e-06
cat__publication_year_1807.0,2.370422735300656e-06
cat__publication_year_1926.0,2.223107208084061e-06
cat__publication_year_1938.0,1.772068577595184e-06
cat__publication_year_1932.0,1.7152904587810404e-06
cat__publication_year_1863.0,1.6923273934744158e-06
cat__publication_decade_1870.0,1.5510422110606213e-06
cat__publication_year_1912.0,1.5247175981672762e-06
cat__publication_year_1830.0,1.4631713914481138e-06
cat__publication_year_1872.0,1.4439165213944573e-06
cat__publication_decade_1760.0,1.412434792528516e-06
cat__publication_year_1833.0,1.3769918838998607e-06
cat__publication_year_1951.0,1.2683962721618104e-06
cat__publication_year_1891.0,1.2637985282007039e-06
cat__publication_year_1944.0,1.2426352058109676e-06
cat__publication_year_1931.0,1.144204898627902e-06
cat__publication_decade_1770.0,9.673388536160473e-07
cat__publication_year_1789.0,9.578179630014527e-07
cat__publication_year_1868.0,8.628206338216676e-07
cat__publication_year_1905.0,7.466966880236137e-07
cat__publication_decade_1800.0,6.403450902955761e-07
cat__publication_year_1678.0,6.118759089700029e-07
cat__publication_year_1889.0,5.421630069399183e-07
cat__publication_year_1888.0,5.159925808494467e-07
cat__publication_year_1928.0,4.997195738669214e-07
cat__publication_year_1897.0,4.88556767019255e-07
cat__publication_year_1865.0,4.7453161004552343e-07
cat__publication_year_1908.0,4.555446629813274e-07
cat__publication_year_1935.0,4.5483572388675155e-07
cat__publication_year_1930.0,4.431939602213756e-07
cat__publication_year_1839.0,4.4010914393865836e-07
cat__publication_year_1904.0,4.0580978392566673e-07
cat__publication_year_1913.0,3.987369922967505e-07
cat__publication_year_1842.0,3.9640544286139224e-07
cat__publication_year_1882.0,3.7331839275333173e-07
cat__publication_year_1847.0,3.693091477744476e-07
cat__publication_year_1921.0,3.664226785120171e-07
cat__publication_year_1949.0,3.5596176928110533e-07
cat__publication_year_1862.0,3.410131112926892e-07
cat__publication_year_1900.0,3.3188394920203897e-07
cat__publication_year_1924.0,3.269299751000665e-07
cat__publication_year_1853.0,3.027788417993183e-07
cat__publication_year_1811.0,2.730709350824801e-07
cat__publication_year_1820.0,2.545781628746216e-07
cat__publication_year_1933.0,2.309163833028759e-07
cat__publication_year_1884.0,2.2644901738683502e-07
cat__publication_year_1869.0,2.044951599459232e-07
cat__publication_year_1844.0,1.915344580305551e-07
cat__publication_year_1691.0,1.860462688898837e-07
cat__publication_year_1826.0,1.6625967719356537e-07
cat__publication_year_1854.0,1.5404583052928457e-07
cat__publication_year_1909.0,1.4893339344704398e-07
cat__publication_year_1796.0,1.4436877384766365e-07
cat__publication_decade_2020.0,1.4277828610068666e-07
cat__publication_year_1840.0,1.4026567988798172e-07
cat__publication_year_1776.0,1.2639837615557693e-07
cat__publication_year_1817.0,1.259211169458066e-07
cat__publication_year_1841.0,1.2447176586592387e-07
cat__publication_year_1894.0,1.2238996015002188e-07
cat__publication_year_1910.0,1.1883147794048438e-07
cat__publication_year_1917.0,1.1403303435958571e-07
cat__publication_year_1808.0,1.1257102045131712e-07
cat__publication_year_1812.0,1.1131742515739628e-07
cat__publication_year_1911.0,1.1068278812141272e-07
