feature,importance
cat__publication_year_1956.0,9.132175304370116e-06
cat__publication_decade_1850.0,8.318902947137113e-06
cat__publication_year_1938.0,8.250898019581315e-06
cat__publication_year_1865.0,8.224255599343965e-06
cat__publication_year_1830.0,8.0740445473172e-06
cat__publication_year_1843.0,7.651282059112423e-06
cat__publication_year_1978.0,7.525251978689227e-06
cat__publication_year_1951.0,6.89737967727207e-06
cat__publication_year_1940.0,6.840359618211746e-06
cat__publication_year_1856.0,6.307497932752775e-06
cat__publication_decade_1680.0,5.953027920547924e-06
cat__publication_decade_1860.0,5.5732541578832784e-06
cat__publication_year_1845.0,5.303489327962975e-06
cat__publication_year_1963.0,4.897628153107554e-06
cat__publication_year_1808.0,4.865668424257449e-06
cat__publication_year_1835.0,4.564459482889517e-06
cat__publication_year_1689.0,4.466222441397773e-06
cat__publication_year_1948.0,4.447550193829989e-06
cat__publication_year_1847.0,3.9979327222916015e-06
cat__publication_year_1859.0,3.967537965900322e-06
cat__publication_year_1947.0,3.915774708609654e-06
cat__publication_year_1887.0,3.894955952992338e-06
cat__publication_decade_1760.0,3.7834799092502785e-06
cat__publication_year_1944.0,3.585554295867301e-06
cat__publication_year_1886.0,3.5517740719457035e-06
cat__publication_decade_1780.0,3.543838636717038e-06
cat__publication_year_1811.0,3.473279445126265e-06
cat__publication_year_1970.0,3.4448893683410606e-06
cat__publication_year_1918.0,3.123882323339191e-06
cat__publication_year_1932.0,2.9462842073349245e-06
cat__publication_year_1922.0,2.933278230247335e-06
cat__publication_year_1899.0,2.777672333693336e-06
cat__publication_decade_1800.0,2.546035863802247e-06
cat__publication_year_1789.0,2.5119341034300697e-06
cat__publication_year_1848.0,2.4556476079270007e-06
cat__publication_year_1774.0,2.418941227625117e-06
cat__publication_year_1817.0,2.3081677830948252e-06
cat__publication_year_1909.0,2.2432626619147386e-06
cat__publication_year_1926.0,2.1601992759717616e-06
cat__publication_year_1957.0,2.0314094979097085e-06
cat__publication_year_1726.0,2.007064030715284e-06
cat__publication_year_1897.0,1.8842097969329863e-06
cat__publication_year_1959.0,1.8537655100899477e-06
cat__publication_year_1913.0,1.819515024602774e-06
cat__publication_year_1916.0,1.7946508210483086e-06
cat__publication_year_1764.0,1.71167854781744e-06
cat__publication_year_1930.0,1.6991264718575833e-06
cat__publication_year_1861.0,1.5749514550292927e-06
cat__publication_year_1722.0,1.3951158633145798e-06
cat__publication_year_1826.0,1.371546041873249e-06
cat__publication_year_1911.0,1.3559574976333942e-06
cat__publication_year_1924.0,1.2702001825280704e-06
cat__publication_decade_1770.0,1.2251642917814113e-06
cat__publication_year_1880.0,1.1307825070835511e-06
cat__publication_year_1884.0,1.0132564527257314e-06
cat__publication_year_1863.0,9.382518178769067e-07
cat__publication_year_1912.0,9.326674424097174e-07
cat__publication_year_1908.0,9.319040708752865e-07
cat__publication_year_1868.0,8.971259044015498e-07
cat__publication_decade_1870.0,8.760680005067357e-07
cat__publication_year_1928.0,8.666161061332521e-07
cat__publication_year_1866.0,8.187692440448353e-07
cat__publication_year_1895.0,7.711219659680859e-07
cat__publication_year_1931.0,7.667589499836615e-07
cat__publication_year_1900.0,7.659606788885547e-07
cat__publication_year_1876.0,7.628890042349943e-07
cat__publication_year_1785.0,7.529424912582775e-07
cat__publication_year_1929.0,6.230139386436305e-07
cat__publication_year_1762.0,6.171405014480466e-07
cat__publication_year_1923.0,5.753711228452252e-07
cat__publication_year_1949.0,5.596605716072174e-07
cat__publication_decade_1710.0,5.510274896214968e-07
cat__publication_year_1896.0,5.178074724235011e-07
cat__publication_year_1920.0,5.018508421536044e-07
cat__publication_year_1910.0,4.851238895679422e-07
cat__publication_year_1898.0,4.469849827146358e-07
cat__publication_year_1901.0,4.31022557580091e-07
cat__publication_year_1903.0,4.253008728343082e-07
cat__publication_year_1882.0,3.751024129817754e-07
cat__publication_year_1838.0,3.554540014917428e-07
cat__publication_year_1719.0,3.1247500862901117e-07
cat__publication_year_1889.0,2.6051861421329624e-07
cat__publication_year_2020.0,2.5025795632230574e-07
cat__publication_year_1871.0,2.2288073857436057e-07
cat__publication_year_1935.0,1.861406340031755e-07
cat__publication_year_1872.0,1.8329974079166673e-07
cat__publication_year_1879.0,1.7639092727439474e-07
cat__publication_year_1844.0,1.7200037597264125e-07
cat__publication_decade_1750.0,1.59377168765445e-07
cat__publication_year_1891.0,1.5306545783801114e-07
cat__publication_year_1807.0,1.3403706279379387e-07
cat__publication_year_1881.0,1.2961092221100458e-07
cat__publication_year_1919.0,1.0803844370961451e-07
cat__publication_year_1857.0,8.784642053194144e-08
cat__publication_year_1820.0,5.9169015190150936e-08
cat__publication_year_1812.0,4.986067888770258e-08
cat__publication_year_1869.0,4.837696939871237e-08
cat__publication_year_1776.0,4.768324151060724e-08
cat__publication_year_1905.0,1.6046071302096838e-08
cat__publication_year_1927.0,1.2525139293722723e-08
cat__publication_year_1839.0,0.0
cat__publication_year_1846.0,0.0
cat__publication_year_1678.0,0.0
cat__publication_year_1836.0,0.0
cat__publication_decade_2020.0,0.0
cat__publication_year_1691.0,0.0
cat__publication_year_1837.0,0.0
cat__publication_year_1796.0,0.0
cat__publication_year_1840.0,0.0
cat__publication_year_1781.0,0.0
remainder__external_popularity_score_was_missing,0.0
cat__publication_year_1791.0,0.0
remainder__external_rating_was_missing,0.0
cat__publication_year_1842.0,0.0
cat__publication_year_1787.0,0.0
cat__publication_year_1749.0,0.0
cat__publication_year_1852.0,0.0
