bookId,title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,coverImg,bbeScore,bbeVotes,price,goodreads_book_id
12363948-i-partridge,"I, Partridge: We Need to Talk About Alan",,"Alan Partridge (Pen Name), Rob Gibbons, Neil Gibbons, Armando Iannucci, Steve Coogan",4.22,"Book by Partridge, Alan.Journalist, presenter, broadcaster, husband, father, vigorous all-rounder: Alan Partridge. Star of action blockbuster Alpha Papa; a man with a fascinating past and an amazing future.Gregarious and popular, yet Alan’s never happier than when relaxing in his own five-bedroom, south-built house with three acres of land and access to a private stream. But who is this mysterious enigma?Alan Gordon Partridge is the best – and best-loved – radio presenter in the region. Born into a changing world of rationing, Teddy Boys, apes in space and the launch of ITV, Alan’s broadcasting career began as chief DJ of Radio Smile at St. Luke’s Hospital in Norwich. After replacing Peter Flint as the presenter of Scout About, he entered the top 8 of BBC sports presenters.But Alan’s big break came with his primetime BBC chat show Knowing Me, Knowing You. Sadly, the show battled against poor scheduling, having been put up against News at Ten, then in its heyday. Due to declining ratings, a single catastrophic hitch (the killing of a guest on air) and the dumbing down of network TV, Alan’s show was cancelled. Not to be dissuaded, he embraced this opportunity to wind up his production company, leave London and fulfil a lifelong ambition to return to his roots in local radio.Now single, Alan is an intensely private man but he opens up, for the second time, in this candid, entertaining, often deeply emotional – and of course compelling – memoir, written entirely in his own words. (Alan quickly dispelled the idea of using a ghost writer. With a grade B English Language O-Level, he knew he was up to the task.)He speaks touchingly about his tragic Toblerone addiction, and the painful moment when unsold copies of his first autobiography, Bouncing Back, were pulped like ‘word porridge’. He reveals all about his relationship with his ex-Ukrainian girlfriend, Sonja, with whom he had sex at least twice a day, and the truth about the thick people who make key decisions at the BBC.A literary tour de force, I, Partridge: We Need to Talk About Alan charts the incredible journey of one of our greatest broadcasters.",English,9780007449170,"['Humor', 'Fiction', 'Comedy', 'Audiobook', 'British Literature', 'Biography Memoir', 'Pop Culture', 'Novels', 'Tv', 'Modern']",[],Hardcover,,320,HarperCollins,September 29th 2011,01/01/11,[],8282,"['3633', '3160', '1208', '221', '60']",97.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494078833l/12363948._SY475_.jpg,100,1,2.78,12363948.0
58677.Loitering_with_Intent,Loitering with Intent,,Muriel Spark,3.78,"""How wonderful to be an artist and a woman in the twentieth century,"" Fleur Talbot rejoices. Happily loitering about London, c. 1949, with intent to gather material for her writing, Fleur finds a job ""on the grubby edge of the literary world,"" as secretary to the peculiar Autobiographical Association. Mad egomaniacs, hilariously writing their memoirs in advance—or poor fools ensnared by a blackmailer? Rich material, in any case. But when its pompous director, Sir Quentin Oliver, steals the manuscript of Fleur's new novel, fiction begins to appropriate life. The association's members begin to act out scenes exactly as Fleur herself has already written them in her missing manuscript. And as they meet darkly funny, pre-visioned fates, where does art start or reality end? ""A delicious conundrum,"" The New Statesman called Loitering with Intent.",English,9780811214742,"['Fiction', 'Literary Fiction', 'Classics', 'Humor', 'Literature', 'British Literature', 'Novels', 'Audiobook', 'Scotland', 'Contemporary']",['Fleur Talbot'],Paperback,,224,New Directions,June 17th 2001,05/22/81,['Booker Prize Nominee (1981)'],3029,"['691', '1301', '772', '207', '58']",91.0,"['London, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430344701l/58677.jpg,67,1,5.24,58677.0
8431510-unknown-book-8431510,Unknown Book 8431510,,Unknown Author 509,5.0,,,9999999999999,[],[],,,,,,,[],1,[],100.0,[],,96,1,,8431510.0
23171368-the-good-girls,The Good Girls,The Perfectionists #2,Sara Shepard (Goodreads Author),4.09,"Mackenzie, Ava, Caitlin, Julie, and Parker have done some not-so-perfect things. But even though they all talked about killing rich bully Nolan Hotchkiss, they didn’t actually go through with it. It’s just a coincidence that Nolan died in exactly the way they planned . . . right? Except Nolan wasn’t the only one they fantasized about killing. When someone else they named dies, the girls wonder if they’re being framed. Or are they about to become the killer’s next targets?",,9780062074546,"['Young Adult', 'Mystery', 'Contemporary', 'Thriller', 'Fiction', 'Romance', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Chick Lit']",[],ebook,,368,HarperTeen,June 2nd 2015,,[],6662,"['2603', '2458', '1261', '281', '59']",95.0,"['Beacon Heights, Washington (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413911464l/23171368.jpg,96,1,,23171368.0
18590519-forever-with-me,Forever with Me,With Me in Seattle #8,Kristen Pro(Goodreads Author),4.31,"From the New York Times and USA Today bestselling author of the With Me in Seattle Series comes the end of a saga…Dominic Salvatore seemingly has everything a man could want. He’s found a new relationship with his father and the entire Montgomery family. His vineyard, Cuppa di Vita, is a success. There’s only one thing that eludes him: a certain driven, intelligent, and sexy as hell blonde named Alecia.Alecia works tirelessly building her event planning business. It’s the most important part of her life. Despite the beautiful, lavish weddings she organizes, Alecia is convinced that the idea of true love is a myth. While Dominic is a sexy, intriguing man, welcoming the handsome Italian into her bed, and her life, is a risk she’s not so sure she’s willing to take.However Dominic isn’t used to taking no for an answer, and it’s not long before these two are burning up the sheets and discovering a connection that neither can deny. But will it be strong enough to last forever?“I’m going to eventually make you understand how amazing you are, tesoro.” – Dominic Salvatore",English,B00PSMR5QC,"['Romance', 'Contemporary Romance', 'Contemporary', 'New Adult', 'Erotica', 'Adult', 'Chick Lit', 'Family', 'Audiobook', 'Erotic Romance']",[],Kindle Edition,,290,Ampersand Publishing,December 2nd 2014,11/28/14,[],14540,"['7140', '5173', '1865', '293', '69']",98.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412867660l/18590519._SY475_.jpg,98,1,,18590519.0
62212.In_the_Company_of_the_Courtesan,In the Company of the Courtesan,,Sarah Dunant,3.77,"My lady, Fiammetta Bianchini, was plucking her eyebrows and biting color into her lips when the unthinkable happened and the Holy Roman Emperor's army blew a hole in the wall of God's eternal city, letting in a flood of half-starved, half-crazed troops bent on pillage and punishment.
  
Thus begins In the Company of the Courtesan, Sarah Dunant's epic novel of life in Renaissance Italy. Escaping the sack of Rome in 1527, with their stomachs churning on the jewels they have swallowed, the courtesan Fiammetta and her dwarf companion, Bucino, head for Venice, the shimmering city born out of water to become a miracle of east-west trade: rich and rancid, pious and profitable, beautiful and squalid.With a mix of courage and cunning they infiltrate Venetian society. Together they make the perfect partnership: the sharp-tongued, sharp-witted dwarf, and his vibrant mistress, trained from birth to charm, entertain, and satisfy men who have the money to support her.Yet as their fortunes rise, this perfect partnership comes under threat, from the searing passion of a lover who wants more than his allotted nights to the attentions of an admiring Turk in search of human novelties for his sultan's court. But Fiammetta and Bucino's greatest challenge comes from a young crippled woman, a blind healer who insinuates herself into their lives and hearts with devastating consequences for them all.A story of desire and deception, sin and religion, loyalty and friendship, In the Company of the Courtesan paints a portrait of one of the world's greatest cities at its most potent moment in history: It is a picture that remains vivid long after the final page.",English,9780812974041,"['Historical Fiction', 'Fiction', 'Historical', 'Italy', '16th Century', 'Audiobook', 'Romance', 'Adult Fiction', 'Novels', 'Art']",[],Paperback,,368,Random House Trade,February 6th 2007,10/28/06,[],23776,"['5817', '9178', '6803', '1521', '457']",92.0,"['Venice (Italy)', 'Rome (Italy)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924737l/62212.jpg,255,3,2.79,62212.0
799147.Louder_Lili,"Louder, Lili",,"Gennifer Choldenko (Goodreads Author), S.D. Schindler (Illustrator)",3.83,"Lili is the quietest kid in class. She spends recess inside with Lois, the class's pet guinea pig, and allows Cassidy do her talking for her, even if it means never getting to have the best parts in games. Sometimes it's just easier letting Cassidy be in charge, but will Lili have the courage to speak up when it means keeping Lois from getting hurt? This warm, humorous story will speak to any child learning to find his or her own voice?and children used to being the boss might see themselves reflected in Cassidy's over-the-top antics, as well. ",English,9780399242526,"['Picture Books', 'School', 'Childrens', 'Emotion', 'School Stories']",[],Hardcover,,32,G. P. Putnam's Sons,September 20th 2007,,[],144,"['36', '56', '44', '7', '1']",94.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347743658l/799147.jpg,183,2,5.22,799147.0
210946.Shenzhen,Shenzhen: A Travelogue from China,,Guy Delisle,3.76,"Shenzhen is entertainingly compact with Guy Delisle's observations of life in urban southern China, sealed off from the rest of the country by electric fences and armed guards. With a dry wit and a clean line, Delisle makes the most of his time spent in Asia overseeing outsourced production for a French animation company. He brings to life the quick pace of Shenzhen's crowded streets. By translating his fish-out-of-water experiences into accessible graphic novels, Delisle skillfully notes the differences between Western and Eastern cultures, while also conveying his compassion for the simple freedoms that escape his colleagues in the Communist state.",English,9780224079914,"['Graphic Novels', 'Comics', 'Nonfiction', 'Travel', 'China', 'Bande Dessinée', 'Memoir', 'Graphic Novels Comics', 'Asia', 'Canada']",[],Hardcover,,152,Jonathan Cape,October 5th 2006,04/30/00,"[""Prix du Festival d'Angoulême Nominee for Alph-art du coup de coeur (2001)""]",6610,"['1387', '2682', '2125', '367', '49']",94.0,"['Shenzhen, Guangdong (China)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330445378l/210946.jpg,101,2,7.33,210946.0
43547.Rose_of_No_Man_s_Land,Rose of No Man's Land,,Michelle Tea,3.53,"Fourteen-year-old Trisha Driscoll is a gender-blurring, self-described loner whose family expects nothing of her. While her mother lies on the couch in a hypochondriac haze and her sister aspires to be on The Real World, Trisha struggles to find her own place among the neon signs, theme restau­rants, and cookie-cutter chain stores of her hometown.  After being hired and abruptly fired from the most popular clothing shop at the local mall, Trisha befriends a chain-smoking misfit named Rose, and her life shifts into manic overdrive. A “postmillennial, class-adjusted My So-Called Life” (Publishers Weekly), Rose of No Man’s Land is brim­ming with snarky observations and soulful musings on contemporary teenage America.",English,9780156030939,"['Fiction', 'Queer', 'LGBT', 'Young Adult', 'Coming Of Age', 'Lesbian', 'Queer Lit', 'Novels', 'American', 'Realistic Fiction']",[],Paperback,,320,Mariner Books,February 5th 2007,11/06/05,[],1696,"['324', '571', '540', '201', '60']",85.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441145947l/43547._SX318_.jpg,80,1,3.07,43547.0
20344952-burnt-tongues,Burnt Tongues,,"Chuck Palahniuk (Goodreads Author) (Editor), Richard Thomas (Goodreads Author) (Editor), Dennis Widmyer (Editor), Amanda Gowin (Goodreads Author), Matt Egan, Fred Venturini (Goodreads Author), Brandon Tietz (Goodreads Author), Adam Skorupskas (Goodreads Author), more…",3.69,"Transgressive fiction authors write stories some are afraid to tell. Stories with taboo subjects, unique voices, shocking images—nothing safe or dry.Burnt Tongues is a collection of transgressive stories selected by a rigorous nomination and vetting process and hand-selected by Chuck Palahniuk, author of Fight Club, as the best of The Cult workshop, his official fan website.These stories run the gamut from horrific and fantastic to humorous and touching, but each leaves a lasting impression. Some may say even a scar.Also includes: The Power of Persisting: An Introduction by Chuck Palahniuk, and from the Editors: The Genesis of Burnt Tongues by Dennis Widmyer and Richard Thomas.Table of Contents:Live This Down by Neil KrolickiCharlie by Chris Lewis CarterPaper by Gayle TowellMating Calls by Tony LiebhardMelody by Michael De Vito, Jr.F for Fake by Tyler JonesMind and Soldier by Phil JourdanIngredients by Richard LemmerThe Line Forms on the Right by Amanda GowinA Vodka Kind of Girl by Matt EganGasoline by Fred VenturiniDietary by Brandon TietzInvisible Graffiti by Adam SkorupskasBike by Bryan HowieHeavier Petting by Brien PiechosEngines, O-Rings, and Astronauts by Jason M. FylanLemming by Terence James EelesThe Routine by Keith BuieSurvived by Gus MorenoZombie Whorehouse by Daniel W. Broallt",English,9781605427348,"['Short Stories', 'Fiction', 'Horror', 'Anthologies', 'Dark', 'Collections', 'Adult', 'Cult Classics', 'Literature', 'Novels']",[],Paperback,,329,Medallion Press,August 12th 2014,,"['Bram Stoker Award Nominee for Best Anthology (2014)', 'This is Horror Award for Anthology (2014)', 'USA Book News Award for Anthology (2014)', 'Foreword INDIES Book of the Year Award for Anthology (Gold) (2014)']",2115,"['556', '753', '503', '198', '105']",86.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398195786l/20344952.jpg,97,1,9.38,20344952.0
5918555-paddy-s-puzzle,Paddy's Puzzle,,Fiona Kidman,3.48,,English,9780434391981,['Fiction'],[],Hardcover,,208,William Heinemann,February 13th 1984,1983,[],25,"['2', '11', '9', '3', '0']",88.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506979808l/5918555._SX318_.jpg,15,1,,5918555.0
823.Quicksilver,Quicksilver,The Baroque Cycle #1,Neal Stephenson (Goodreads Author),3.92,"Quicksilver is the story of Daniel Waterhouse, fearless thinker and conflicted Puritan, pursuing knowledge in the company of the greatest minds of Baroque-era Europe, in a chaotic world where reason wars with the bloody ambitions of the mighty, and where catastrophe, natural or otherwise, can alter the political landscape overnight.It is a chronicle of the breathtaking exploits of ""Half-Cocked Jack"" Shaftoe--London street urchin turned swashbuckling adventurer and legendary King of the Vagabonds--risking life and limb for fortune and love while slowly maddening from the pox.And it is the tale of Eliza, rescued by Jack from a Turkish harem to become spy, confidante, and pawn of royals in order to reinvent Europe through the newborn power of finance.A gloriously rich, entertaining, and endlessly inventive novel that brings a remarkable age and its momentous events to vivid life, Quicksilver is an extraordinary achievement from one of the most original and important literary talents of our time.And it's just the beginning...(back cover)This P.S. edition includes 16 pages of supplementary materials.Cover design by Richard L. AquanCover illustration from the Mary Evans Picture Library; painting of Great Fire of London on stepback",English,9780060593087,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Fantasy', 'Historical', 'Science Fiction Fantasy', 'Alternate History', 'Speculative Fiction', 'Adventure', 'Novels']","['Isaac Newton', 'Eliza', 'Jack Shaftoe', 'Enoch Root', 'Gottfried Wilhelm Leibniz', 'Daniel Waterhouse', 'Bob Shaftoe']",Paperback,P.S. Edition (US/CAN),927,HarperCollins Perennial,September 21st 2004,09/23/03,"['Locus Award Nominee for Best Science Fiction Novel (2004)', 'Arthur C. Clarke Award (2004)']",36267,"['13031', '12513', '6826', '2684', '1213']",89.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377095669l/823.jpg,2351,29,4.46,823.0
7706518-talent-is-never-enough,Talent Is Never Enough: Discover the Choices That Will Take You Beyond Your Talent,,John C. Maxwell,4.22,"New York Times best-selling author Dr. John C. Maxwell has a message for you, and for today's corporate culture fixated on talent above all else: TALENT IS NEVER ENOUGH.People everywhere are proving him right. Read the headlines, watch the highlights, or just step out your front door: Some talented people reach their full potential, while others self-destruct or remain trapped in mediocrity. What makes the difference? Maxwell, the go-to guru for business professionals across the globe, insists that the choices people make-not merely the skills they inherit-propel them onto greatness. Among other truths, successful people know that:Belief lifts your talent. Initiative activates your talent. Focus directs your talent. Preparation positions your talent. Practice sharpens your talent. Perseverance sustains your talent. Character protects your talent. . . . and more!!It's what you add to your talent that makes the greatest difference. With authentic examples and time-tested wisdom, Maxwell shares thirteen attributes you need to maximize your potential and live the life of your dreams.You can have talent alone and fall short of your potential. Or you can have talent plus, and really stand out.",English,9781418566326,"['Leadership', 'Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Psychology', 'Christian', 'Buisness', 'Human Development', 'Childrens']",[],ebook,,304,HarperCollins Leadership,April 1st 2007,11/06/06,[],1929,"['923', '616', '306', '64', '20']",96.0,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356171540l/7706518.jpg,82,1,,7706518.0
